Ativo,Início,Fim,Ret_Técnica,Sharpe_Técnica,Ret_ML,Sharpe_ML,Modelo_ML
PETR4.SA,2020-01-29,2020-07-27,1.09,0.52,1.87,3.21,-
PETR4.SA,2020-07-27,2021-01-23,1.18,1.99,0.13,0.22,-
PETR4.SA,2021-01-23,2021-07-22,0.99,1.78,0.69,1.89,-
PETR4.SA,2021-07-22,2022-01-18,0.09,0.21,1.7,4.46,-
PETR4.SA,2022-01-18,2022-07-17,-0.05,-0.11,0.74,2.01,-
PETR4.SA,2022-07-17,2023-01-13,-0.43,-0.81,-0.84,-1.55,-
PETR4.SA,2023-01-13,2023-07-12,-0.49,-0.91,-0.09,-0.18,-
PETR4.SA,2023-07-12,2024-01-08,0.36,1.09,0.56,2.08,-
PETR4.SA,2024-01-08,2024-07-06,-0.02,-0.08,0.09,0.34,-
PETR4.SA,2024-07-06,2025-01-02,0.04,0.2,0.21,1.8,-
VALE3.SA,2020-01-29,2020-07-27,1.63,2.5,0.28,1.0,-
VALE3.SA,2020-07-27,2021-01-23,0.26,1.62,0.25,2.68,-
VALE3.SA,2021-01-23,2021-07-22,0.14,1.4,0.21,2.62,-
VALE3.SA,2021-07-22,2022-01-18,0.05,0.28,0.0,0.0,-
VALE3.SA,2022-01-18,2022-07-17,-0.19,-1.34,-0.13,-0.91,-
VALE3.SA,2022-07-17,2023-01-13,0.21,1.17,0.42,3.08,-
VALE3.SA,2023-01-13,2023-07-12,-0.2,-2.23,0.08,0.63,-
VALE3.SA,2023-07-12,2024-01-08,0.2,1.43,0.08,0.79,-
VALE3.SA,2024-01-08,2024-07-06,-0.11,-1.0,-0.05,-0.4,-
VALE3.SA,2024-07-06,2025-01-02,-0.08,-0.57,0.03,0.23,-
BBAS3.SA,2020-01-29,2020-07-27,-0.98,-0.67,2.22,1.27,-
BBAS3.SA,2020-07-27,2021-01-23,-0.14,-0.21,0.79,1.12,-
BBAS3.SA,2021-01-23,2021-07-22,-0.78,-1.11,0.16,0.74,-
BBAS3.SA,2021-07-22,2022-01-18,0.68,1.0,1.89,4.41,-
BBAS3.SA,2022-01-18,2022-07-17,0.69,1.31,0.26,0.61,-
BBAS3.SA,2022-07-17,2023-01-13,-0.6,-0.87,0.25,0.4,-
BBAS3.SA,2023-01-13,2023-07-12,0.25,0.58,1.14,4.08,-
BBAS3.SA,2023-07-12,2024-01-08,0.12,0.43,0.43,1.9,-
BBAS3.SA,2024-01-08,2024-07-06,-0.29,-1.31,-0.08,-0.5,-
BBAS3.SA,2024-07-06,2025-01-02,-0.35,-1.75,-0.21,-1.67,-
